"PointID","x","y","z","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
224, 8.674872179203288e-01, 0.000000000000000e+00, 1.766328373567019e-02, 1.460099252908903e-05, 2.383064047665924e-03, -8.983643289587802e-02, -8.911842011444747e-02
225, 8.686066787316091e-01, 0.000000000000000e+00, 1.750975269969390e-02, -2.965915894561935e-03, 2.529749261879649e-03, -9.107104247529195e-02, -9.053749125087875e-02
226, 8.697230829960645e-01, 0.000000000000000e+00, 1.733536731944984e-02, -4.837614068304752e-03, 2.663317511078568e-03, -8.658734297616430e-02, -8.621833481333761e-02
227, 8.708362748425451e-01, 0.000000000000000e+00, 1.714151846962567e-02, -6.595901815665581e-03, 2.784587652484088e-03, -8.309329983344522e-02, -8.292709854766556e-02
228, 8.719461670038828e-01, 0.000000000000000e+00, 1.692958228308352e-02, -8.016392067336897e-03, 2.894588003290598e-03, -7.972329034177014e-02, -7.975592817928862e-02
229, 8.730527138223039e-01, 0.000000000000000e+00, 1.670081457380037e-02, -9.202671124359416e-03, 2.995194578911480e-03, -7.694883713468580e-02, -7.716913031959655e-02
230, 8.741558502578363e-01, 0.000000000000000e+00, 1.645612554752295e-02, -1.030684689219227e-02, 3.088031081742099e-03, -7.435181062957048e-02, -7.477641079925990e-02
231, 8.752555334036892e-01, 0.000000000000000e+00, 1.619635331630756e-02, -1.118045137666875e-02, 3.173698245436246e-03, -7.158239793826146e-02, -7.219770809158053e-02
232, 8.763517534060499e-01, 0.000000000000000e+00, 1.592233053117429e-02, -1.186542184973355e-02, 3.252569691596287e-03, -6.872134486956961e-02, -6.951449841026236e-02
233, 8.774445296195854e-01, 0.000000000000000e+00, 1.563487837875849e-02, -1.243521972396035e-02, 3.325268004559448e-03, -6.606151914986090e-02, -6.702259470004128e-02
234, 8.785338818964111e-01, 0.000000000000000e+00, 1.533470920092809e-02, -1.292794967956131e-02, 3.392617345817037e-03, -6.364792520233729e-02, -6.476959257755002e-02
235, 8.796198242461992e-01, 0.000000000000000e+00, 1.502242694058535e-02, -1.331309951516435e-02, 3.455159848134875e-03, -6.125711185889555e-02, -6.252773173146493e-02
236, 8.807023882684749e-01, 0.000000000000000e+00, 1.469862542008050e-02, -1.356567023834664e-02, 3.513152744613828e-03, -5.877840665395019e-02, -6.018052361879230e-02
237, 8.817816228054031e-01, 0.000000000000000e+00, 1.436389238847078e-02, -1.373238386031215e-02, 3.566849990760933e-03, -5.640241866884954e-02, -5.792087804685832e-02
238, 8.828575922261637e-01, 0.000000000000000e+00, 1.401880291505121e-02, -1.392412508005707e-02, 3.616776358650105e-03, -5.447487505399038e-02, -5.610853375021985e-02
239, 8.839303296884424e-01, 0.000000000000000e+00, 1.366380050832879e-02, -1.417711391344622e-02, 3.663675359099451e-03, -5.300694613456969e-02, -5.476217928849614e-02
240, 8.849998443626320e-01, 0.000000000000000e+00, 1.329919964735437e-02, -1.441944131101692e-02, 3.707982068779019e-03, -5.167825530809573e-02, -5.355311856903756e-02
241, 8.860661473923093e-01, 0.000000000000000e+00, 1.292530961183311e-02, -1.460474568912901e-02, 3.749819912535840e-03, -5.031629663837428e-02, -5.230195282293296e-02
242, 8.871292585930118e-01, 0.000000000000000e+00, 1.254243763277122e-02, -1.473275797595095e-02, 3.789285310110616e-03, -4.891707639544796e-02, -5.100387374975585e-02
243, 8.881892050324608e-01, 0.000000000000000e+00, 1.215088895927262e-02, -1.480543573092772e-02, 3.826472709392834e-03, -4.748593324659471e-02, -4.966367314671986e-02
244, 8.892460207093015e-01, 0.000000000000000e+00, 1.175096661055796e-02, -1.482473027319101e-02, 3.861475956139164e-03, -4.602787254501280e-02, -4.828586839820150e-02
245, 8.902997462109004e-01, 0.000000000000000e+00, 1.134297117858849e-02, -1.479255602093135e-02, 3.894387740664010e-03, -4.454728469168000e-02, -4.687442873718667e-02
246, 8.913504283729995e-01, 0.000000000000000e+00, 1.092720067252844e-02, -1.471141993813955e-02, 3.925299219297063e-03, -4.304885691810593e-02, -4.543385850726318e-02
247, 8.923981199824519e-01, 0.000000000000000e+00, 1.050395038705030e-02, -1.458247341581424e-02, 3.954299007619203e-03, -4.154013970081561e-02, -4.397084928627050e-02
