"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
200, 8.457110951526885e-01, 0.000000000000000e+00, 7.590438727932939e-03, 1.615108116351383e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.661738674638922e+05, 0.000000000000000e+00, 1.464695469855569e+05, 3.159192458902398e+02, 0.000000000000000e+00, 1.239585100982735e+01, 1.920289248638085e-05, -2.105039573049262e+01, 7.468437224797302e-04, 8.599704965379912e+00, -6.379545198241998e+03, 2.258924457293406e+00, 0.000000000000000e+00
201, 8.457529734835214e-01, 0.000000000000000e+00, 8.718324792227703e-03, 1.605392662483864e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.631638164989359e+05, 0.000000000000000e+00, 1.452655265995743e+05, 3.152184537963394e+02, 0.000000000000000e+00, 1.200037231421869e+01, 1.917054524934551e-05, -1.693591286763763e+01, 7.259280287439164e-04, 2.824389680669316e+01, -6.416717739707874e+03, 3.722999069242296e+00, 0.000000000000000e+00
202, 8.459734278238783e-01, 0.000000000000000e+00, 9.825445662674572e-03, 1.588294867783434e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.578711254548409e+05, 0.000000000000000e+00, 1.431484501819363e+05, 3.139683445877454e+02, 0.000000000000000e+00, 1.130498656336358e+01, 1.911275432658943e-05, -7.556997846967207e+00, 6.887890089940678e-04, 4.450043912442317e+01, -6.446913469112429e+03, 4.647897315977860e+00, 0.000000000000000e+00
203, 8.463542823115556e-01, 0.000000000000000e+00, 1.088826605797695e-02, 1.566184268096625e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.510430327371861e+05, 0.000000000000000e+00, 1.404172130948744e+05, 3.123257828578980e+02, 0.000000000000000e+00, 1.040787045705463e+01, 1.903664810849118e-05, 5.020555609497240e+00, 6.398548718270844e-04, 5.617769178187993e+01, -6.443537380203250e+03, 5.299304060145378e+00, 0.000000000000000e+00
204, 8.468758755367364e-01, 0.000000000000000e+00, 1.188977615935446e-02, 1.541675478805853e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.434922024459059e+05, 0.000000000000000e+00, 1.373968809783623e+05, 3.104661488499915e+02, 0.000000000000000e+00, 9.415796718395818e+00, 1.895024587381260e-05, 1.864176281241686e+01, 5.852805533239349e-04, 6.317666653066381e+01, -6.384505176722555e+03, 5.764669411817153e+00, 0.000000000000000e+00
205, 8.475126124609750e-01, 0.000000000000000e+00, 1.282251802049352e-02, 1.516278508713389e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.356893186315836e+05, 0.000000000000000e+00, 1.342757274526334e+05, 3.084955329193922e+02, 0.000000000000000e+00, 8.390606663874971e+00, 1.885840914677988e-05, 3.196345379833443e+01, 5.271231936710509e-04, 6.612421940440564e+01, -6.253954661864469e+03, 6.099033589248833e+00, 0.000000000000000e+00
206, 8.482490137865812e-01, 0.000000000000000e+00, 1.367881787490093e-02, 1.489967070040897e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.276431552430590e+05, 0.000000000000000e+00, 1.310572620972236e+05, 3.064183474908245e+02, 0.000000000000000e+00, 7.333453067941093e+00, 1.876129382126163e-05, 4.465899174063473e+01, 4.658036383205154e-04, 6.591324189535763e+01, -6.087329839700699e+03, 6.348354574105277e+00, 0.000000000000000e+00
207, 8.490717821415037e-01, 0.000000000000000e+00, 1.445260024775777e-02, 1.463376440571367e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.195491847006891e+05, 0.000000000000000e+00, 1.278196738802756e+05, 3.042790078981849e+02, 0.000000000000000e+00, 6.270018279076053e+00, 1.866093498708885e-05, 5.622311907128126e+01, 4.029910447783640e-04, 6.312171878588101e+01, -5.881452204987867e+03, 6.531276869023396e+00, 0.000000000000000e+00
208, 8.499673637238891e-01, 0.000000000000000e+00, 1.514089069889417e-02, 1.437177451492479e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.116129669638897e+05, 0.000000000000000e+00, 1.246451867855558e+05, 3.021311218614424e+02, 0.000000000000000e+00, 5.227310007636110e+00, 1.855982771245286e-05, 6.624630575982646e+01, 3.401785211237424e-04, 5.833362869430560e+01, -5.641839806679152e+03, 6.659543809971673e+00, 0.000000000000000e+00
209, 8.509234795464664e-01, 0.000000000000000e+00, 1.574237269977158e-02, 1.412087313356234e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.040496314611950e+05, 0.000000000000000e+00, 1.216198525844780e+05, 3.000359308024186e+02, 0.000000000000000e+00, 4.233593258690723e+00, 1.846086261264996e-05, 7.449191990333863e+01, 2.792810990856052e-04, 5.221813193503029e+01, -5.377167758355207e+03, 6.743428470453885e+00, 0.000000000000000e+00
