"PointID","x","y","z","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
200, 8.457110951526885e-01, 0.000000000000000e+00, 7.590438727932939e-03, 1.073838439657614e+00, 1.048577837458485e-02, 3.084751807350647e-02, -1.074111351801813e+00
201, 8.457529734835214e-01, 0.000000000000000e+00, 8.718324792227703e-03, 8.447546859703121e-01, 9.866758570140688e-03, -1.506557843374909e-01, -8.565577122105585e-01
202, 8.459734278238783e-01, 0.000000000000000e+00, 9.825445662674572e-03, 4.870426699459613e-01, 8.822747966096880e-03, -2.133857542351370e-01, -5.263388486253131e-01
203, 8.463542823115556e-01, 0.000000000000000e+00, 1.088826605797695e-02, 1.317519642950336e-01, 7.552788394450360e-03, -1.535922353953628e-01, -1.822432708837569e-01
204, 8.468758755367364e-01, 0.000000000000000e+00, 1.188977615935446e-02, -1.407500254157147e-01, 6.254504579050695e-03, -2.016859269231052e-02, 1.103912375968334e-01
205, 8.475126124609750e-01, 0.000000000000000e+00, 1.282251802049352e-02, -3.192398252312453e-01, 5.029008840942127e-03, 1.393402328243852e-01, 3.380843777524439e-01
206, 8.482490137865812e-01, 0.000000000000000e+00, 1.367881787490093e-02, -4.234634827017304e-01, 3.892288320569536e-03, 3.001128176021006e-01, 5.134581707525456e-01
207, 8.490717821415037e-01, 0.000000000000000e+00, 1.445260024775777e-02, -4.637650050524691e-01, 2.884674936904446e-03, 4.433076177028077e-01, 6.381631081819445e-01
208, 8.499673637238891e-01, 0.000000000000000e+00, 1.514089069889417e-02, -4.511431362086306e-01, 2.033952451054089e-03, 5.517580117969479e-01, 7.106055882210384e-01
209, 8.509234795464664e-01, 0.000000000000000e+00, 1.574237269977158e-02, -3.995858154336757e-01, 1.354477537594071e-03, 6.123854162356805e-01, 7.299277893743777e-01
210, 8.519276739169526e-01, 0.000000000000000e+00, 1.625976304103756e-02, -3.283725292410193e-01, 8.465967783143464e-04, 6.265102638228603e-01, 7.066142571686213e-01
211, 8.529688327503029e-01, 0.000000000000000e+00, 1.669819578521903e-02, -2.560597407830998e-01, 4.880771082959518e-04, 6.090787819002299e-01, 6.603306321279786e-01
212, 8.540379162560257e-01, 0.000000000000000e+00, 1.706344023924345e-02, -1.914298691086651e-01, 2.499502356396194e-04, 5.727672762883813e-01, 6.037283453001293e-01
213, 8.551277429705614e-01, 0.000000000000000e+00, 1.736128268672859e-02, -1.366488050694549e-01, 1.063929942767404e-04, 5.229927354419209e-01, 5.404750490145922e-01
214, 8.562325006706398e-01, 0.000000000000000e+00, 1.759797214025395e-02, -9.262261886772559e-02, 3.497018310506219e-05, 4.662656758940236e-01, 4.753542637295942e-01
215, 8.573475872521269e-01, 0.000000000000000e+00, 1.778007200593330e-02, -5.964232674118603e-02, 1.572656951132434e-05, 4.138201646465720e-01, 4.180941506998978e-01
216, 8.584695633175710e-01, 0.000000000000000e+00, 1.791344935537453e-02, -3.556322063345610e-02, -6.415299634670070e-02, 3.707942561359260e-01, 3.724943637860059e-01
217, 8.595959748780021e-01, 0.000000000000000e+00, 1.800202564792250e-02, -1.749055078171420e-02, -3.733711562880968e-01, 3.324689422991622e-01, 3.329188229803401e-01
218, 8.607248768252777e-01, 0.000000000000000e+00, 1.804952188323098e-02, -3.919168180576756e-03, -6.017004896904936e-02, 2.948108658476965e-01, 2.948148168144816e-01
219, 8.618547419873498e-01, 0.000000000000000e+00, 1.805971934818592e-02, 5.783287071225852e-03, 2.172854438941972e-04, 2.590532342250041e-01, 2.590824768885401e-01
220, 8.629844213860669e-01, 0.000000000000000e+00, 1.803638625116048e-02, 1.249055684067824e-02, 3.000178401706745e-04, 2.281942994785612e-01, 2.284868665524132e-01
221, 8.641130851447324e-01, 0.000000000000000e+00, 1.798297608322455e-02, 1.725722833306936e-02, 3.871392379950451e-04, 2.042071656756886e-01, 2.048726592077171e-01
222, 8.652400901862312e-01, 0.000000000000000e+00, 1.790172078103752e-02, 2.065858464236661e-02, 4.778534209000948e-04, 1.843510192266280e-01, 1.854316790356541e-01
223, 8.663649278158133e-01, 0.000000000000000e+00, 1.779452241139445e-02, 2.310027115862769e-02, 5.704878855239276e-04, 1.673490123838426e-01, 1.688522478085459e-01
224, 8.674872179203288e-01, 0.000000000000000e+00, 1.766328373567019e-02, 2.459357932831538e-02, 6.633704443479720e-04, 1.513957371641251e-01, 1.532880338097524e-01
225, 8.686066787316091e-01, 0.000000000000000e+00, 1.750975269969390e-02, 2.538403966509275e-02, 7.559002944633864e-04, 1.366945719636823e-01, 1.389312083103894e-01
226, 8.697230829960645e-01, 0.000000000000000e+00, 1.733536731944984e-02, 2.582151825838932e-02, 8.475025201397573e-04, 1.244865490893155e-01, 1.270303187716826e-01
