"PointID","x","y","z","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
223, 8.663649278158133e-01, 0.000000000000000e+00, 1.779452241139445e-02, 3.035015822644112e-02, 4.267425683811977e-04, 1.503331874713803e-01, 1.526963833225474e-01
224, 8.674872179203288e-01, 0.000000000000000e+00, 1.766328373567019e-02, 3.083364945562166e-02, 5.048352872935780e-04, 1.337241567711721e-01, 1.365436877976881e-01
225, 8.686066787316091e-01, 0.000000000000000e+00, 1.750975269969390e-02, 3.059788364129074e-02, 5.830925279790417e-04, 1.202263861531803e-01, 1.233939078152853e-01
226, 8.697230829960645e-01, 0.000000000000000e+00, 1.733536731944984e-02, 2.959467476170119e-02, 6.613229990875970e-04, 1.082012316726985e-01, 1.115775009809234e-01
227, 8.708362748425451e-01, 0.000000000000000e+00, 1.714151846962567e-02, 2.860374259901244e-02, 7.391911175728551e-04, 1.000512081031325e-01, 1.035612240796512e-01
228, 8.719461670038828e-01, 0.000000000000000e+00, 1.692958228308352e-02, 2.718748091592283e-02, 8.165248431096823e-04, 9.212987281949378e-02, 9.566298383646590e-02
229, 8.730527138223039e-01, 0.000000000000000e+00, 1.670081457380037e-02, 2.548057500354455e-02, 8.935933607671305e-04, 8.412714959559960e-02, 8.759850396952759e-02
230, 8.741558502578363e-01, 0.000000000000000e+00, 1.645612554752295e-02, 2.427220290694899e-02, 9.704407140271424e-04, 7.900133146680206e-02, 8.242606979545102e-02
231, 8.752555334036892e-01, 0.000000000000000e+00, 1.619635331630756e-02, 2.287956662056370e-02, 1.046649128526688e-03, 7.350012571898779e-02, 7.682459395334798e-02
232, 8.763517534060499e-01, 0.000000000000000e+00, 1.592233053117429e-02, 2.143247694144639e-02, 1.121957654361408e-03, 6.849140689978320e-02, 7.166876126372537e-02
233, 8.774445296195854e-01, 0.000000000000000e+00, 1.563487837875849e-02, 2.008669212980261e-02, 1.196320841710236e-03, 6.411810495680054e-02, 6.713560546408609e-02
234, 8.785338818964111e-01, 0.000000000000000e+00, 1.533470920092809e-02, 1.886698770193656e-02, 1.269799053325473e-03, 6.021837597079797e-02, 6.307794173787683e-02
235, 8.796198242461992e-01, 0.000000000000000e+00, 1.502242694058535e-02, 1.769584893446183e-02, 1.342271451251336e-03, 5.656732615492280e-02, 5.926116015803230e-02
236, 8.807023882684749e-01, 0.000000000000000e+00, 1.469862542008050e-02, 1.654572387820060e-02, 1.413558779243896e-03, 5.320074037322615e-02, 5.571332213376363e-02
237, 8.817816228054031e-01, 0.000000000000000e+00, 1.436389238847078e-02, 1.549346960003771e-02, 1.483597862921739e-03, 5.026533562681970e-02, 5.259783704114541e-02
238, 8.828575922261637e-01, 0.000000000000000e+00, 1.401880291505121e-02, 1.465601309763506e-02, 1.552520163852065e-03, 4.779818511658147e-02, 4.998703875341801e-02
239, 8.839303296884424e-01, 0.000000000000000e+00, 1.366380050832879e-02, 1.402168103412322e-02, 1.620555951582957e-03, 4.556579459025536e-02, 4.765886030830103e-02
240, 8.849998443626320e-01, 0.000000000000000e+00, 1.329919964735437e-02, 1.346314023528210e-02, 1.687642698204800e-03, 4.331773509087825e-02, 4.533909170866352e-02
241, 8.860661473923093e-01, 0.000000000000000e+00, 1.292530961183311e-02, 1.291278477220369e-02, 1.753575585624077e-03, 4.106718606700770e-02, 4.302025410734882e-02
242, 8.871292585930118e-01, 0.000000000000000e+00, 1.254243763277122e-02, 1.236675788453818e-02, 1.818259714557335e-03, 3.889686862994279e-02, 4.077958766431038e-02
243, 8.881892050324608e-01, 0.000000000000000e+00, 1.215088895927262e-02, 1.182220100815350e-02, 1.881640780979445e-03, 3.683169495868537e-02, 3.863941152695660e-02
244, 8.892460207093015e-01, 0.000000000000000e+00, 1.175096661055796e-02, 1.127530153969626e-02, 1.943688812826210e-03, 3.488820254414481e-02, 3.661346539270435e-02
245, 8.902997462109004e-01, 0.000000000000000e+00, 1.134297117858849e-02, 1.072497595119699e-02, 2.004395169947498e-03, 3.307826077138977e-02, 3.471180830717643e-02
246, 8.913504283729995e-01, 0.000000000000000e+00, 1.092720067252844e-02, 1.017522073457568e-02, 2.063765539848011e-03, 3.141192017164837e-02, 3.294451713985515e-02
247, 8.923981199824519e-01, 0.000000000000000e+00, 1.050395038705030e-02, 9.635195823118324e-03, 2.121827009679989e-03, 2.990867189869826e-02, 3.133234935047982e-02
248, 8.934428794699543e-01, 0.000000000000000e+00, 1.007351281304408e-02, 9.177864295088226e-03, 2.178625532977030e-03, 2.866300862638023e-02, 2.998983613418553e-02
249, 8.944847698058108e-01, 0.000000000000000e+00, 9.636175671902055e-03, 8.730428151794520e-03, 2.234295905477242e-03, 2.739260536896854e-02, 2.862840045251298e-02
250, 8.955238334838473e-01, 0.000000000000000e+00, 9.192164278050283e-03, 8.456840997674301e-03, 2.289042782777688e-03, 2.637495875754309e-02, 2.756821476358919e-02
