"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
200, 8.457110951526885e-01, 0.000000000000000e+00, 7.590438727932939e-03, 1.326603808801854e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.770140907302795e+05, 0.000000000000000e+00, 1.108056362921118e+05, 2.909718380197387e+02, 0.000000000000000e+00, 6.815004510221591e-01, 1.802880752378573e-05, 7.761557345201575e-02, -1.494916942359459e-03, 3.355889413405942e+00, 4.261393102758863e+02, 1.289939559578733e+00, 0.000000000000000e+00
201, 8.457529734835214e-01, 0.000000000000000e+00, 8.718324792227703e-03, 1.319179260738842e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.748875722606538e+05, 0.000000000000000e+00, 1.099550289042615e+05, 2.903632356845163e+02, 0.000000000000000e+00, 4.021055967999894e-01, 1.799956584807395e-05, 1.162249650118630e+00, -1.534092950687547e-03, 7.726967895057496e+00, 4.627753066673502e+02, 1.967055971256348e+00, 0.000000000000000e+00
202, 8.459734278238783e-01, 0.000000000000000e+00, 9.825445662674572e-03, 1.310142815154238e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.723590242284938e+05, 0.000000000000000e+00, 1.089436096913975e+05, 2.896766348644698e+02, 0.000000000000000e+00, 6.988966783913832e-02, 1.796654108047833e-05, 3.474476219753487e+00, -1.553129394418649e-03, 1.148622081284657e+01, 4.931870025513877e+02, 2.433108273801881e+00, 0.000000000000000e+00
203, 8.463542823115556e-01, 0.000000000000000e+00, 1.088826605797695e-02, 1.299860170562297e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.695118193944344e+05, 0.000000000000000e+00, 1.078047277577737e+05, 2.889159483741013e+02, 0.000000000000000e+00, -3.041933184669858e-01, 1.792990882771816e-05, 6.583426555973906e+00, -1.553122483541011e-03, 1.427708675339020e+01, 5.154543922660531e+02, 2.778758586288915e+00, 0.000000000000000e+00
204, 8.468758755367364e-01, 0.000000000000000e+00, 1.188977615935446e-02, 1.289023832898248e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.665135363867341e+05, 0.000000000000000e+00, 1.066054145546936e+05, 2.881035843784348e+02, 0.000000000000000e+00, -6.981258686981099e-01, 1.789073667157810e-05, 1.003508687402015e+01, -1.539150597457766e-03, 1.608071318423161e+01, 5.280359858816954e+02, 3.043568327757607e+00, 0.000000000000000e+00
205, 8.475126124609750e-01, 0.000000000000000e+00, 1.282251802049352e-02, 1.277532273067600e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.633418271609971e+05, 0.000000000000000e+00, 1.053367308643988e+05, 2.872356235855709e+02, 0.000000000000000e+00, -1.114844204051154e+00, 1.784882492354250e-05, 1.351245338534682e+01, -1.511019131597526e-03, 1.698685635954362e+01, 5.305473303948795e+02, 3.249335537977727e+00, 0.000000000000000e+00
206, 8.482490137865812e-01, 0.000000000000000e+00, 1.367881787490093e-02, 1.265753721986072e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.600851554707285e+05, 0.000000000000000e+00, 1.040340621882914e+05, 2.863232986394702e+02, 0.000000000000000e+00, -1.542725421707464e+00, 1.780470531819989e-05, 1.691677234211998e+01, -1.473061576945060e-03, 1.711503306542160e+01, 5.232523342571589e+02, 3.413476467973606e+00, 0.000000000000000e+00
207, 8.490717821415037e-01, 0.000000000000000e+00, 1.445260024775777e-02, 1.253180463839291e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.566309800625535e+05, 0.000000000000000e+00, 1.026523920250214e+05, 2.853552079796959e+02, 0.000000000000000e+00, -1.996555871999651e+00, 1.775781508991194e-05, 2.003987259167442e+01, -1.427266714145693e-03, 1.652343070222280e+01, 5.077906830642037e+02, 3.537380381823019e+00, 0.000000000000000e+00
208, 8.499673637238891e-01, 0.000000000000000e+00, 1.514089069889417e-02, 1.241390591745406e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.533394123610886e+05, 0.000000000000000e+00, 1.013357649444354e+05, 2.843705682582258e+02, 0.000000000000000e+00, -2.429021938600545e+00, 1.771004502361289e-05, 2.278600075312515e+01, -1.376958542019484e-03, 1.539335439302747e+01, 4.873093792564138e+02, 3.631855097927817e+00, 0.000000000000000e+00
209, 8.509234795464664e-01, 0.000000000000000e+00, 1.574237269977158e-02, 1.228829047673163e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.499021748504109e+05, 0.000000000000000e+00, 9.996086994016434e+04, 2.833798091534176e+02, 0.000000000000000e+00, -2.880626985507019e+00, 1.766189808350808e-05, 2.497392153867386e+01, -1.323109233878516e-03, 1.383039905028157e+01, 4.592505868233160e+02, 3.691149459818698e+00, 0.000000000000000e+00
