"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          27,       3.987079945,       3.000791972,   1.462439731e-12,      -1.763241404,      -2.454883234,       1.765324253,       3.530648433,   1.462439731e-12,       3.526482751,       0.752628995,     0.01935055267
          0,           0,          28,        3.93718094,       3.012765087,   1.530710019e-12,      -1.765697385,       -2.44176045,       1.739784365,       3.479568706,   1.530710019e-12,       3.531394745,      0.7652086944,     0.02281462467
          0,           0,          29,       3.879644364,       3.025241169,   1.598234822e-12,      -1.767870874,       -2.42629765,       1.710427887,       3.420855737,   1.598234822e-12,       3.535741867,      0.7797728053,     0.02549687708
          0,           0,          30,       3.815258867,        3.03649761,   1.678731054e-12,      -1.768963873,      -2.408385618,       1.677765153,       3.355530241,   1.678731054e-12,       3.537928032,      0.7958824595,     0.02799422335
          0,           0,          31,       3.745279502,       3.043951732,   1.771317203e-12,       -1.76778498,      -2.387871856,       1.642597277,       3.285194498,   1.771317203e-12,       3.535570365,      0.8127435429,     0.03023536571
          0,           0,          32,       3.671169643,       3.044358582,   1.876667563e-12,       -1.76282937,      -2.364536363,        1.60587464,       3.211749249,   1.876667563e-12,       3.525659157,      0.8292612104,     0.02942826834
          0,           0,          33,       3.594261966,        3.03430108,   2.033834154e-12,       -1.75249789,      -2.338127996,       1.568494884,       3.136989765,   2.033834154e-12,       3.504996054,      0.8442069913,      0.0283544443
          0,           0,          34,       3.515368074,       3.010767375,   2.105193467e-12,      -1.735355771,      -2.308410326,       1.531069496,       3.062138922,   2.105193467e-12,        3.47071147,      0.8564586444,     0.02576247186
          0,           0,          35,       3.479771277,       2.996759395,   2.226084283e-12,      -1.725942664,      -2.294375291,       1.514418914,       3.028838084,   2.226084283e-12,       3.451885698,      0.8611943594,     0.02462490499
          0,           0,          36,        3.44087437,       2.977753644,   2.347340933e-12,       -1.71382541,      -2.278361265,       1.496482159,       2.992964809,   2.347340933e-12,       3.427651506,      0.8654060926,     0.02429706239
          0,           0,          37,       3.398583442,       2.953020725,   2.487626943e-12,      -1.698636328,      -2.260290931,       1.477263501,        2.95452761,   2.487626943e-12,       3.397273527,      0.8688975203,     0.02397383414
          0,           0,          38,       3.352783991,       2.921882348,   2.673645967e-12,      -1.680031597,      -2.240147301,       1.456753451,       2.913507501,   2.673645967e-12,       3.360064135,      0.8714794497,     0.02306221692
          0,           0,          39,       3.303039476,       2.883765213,   2.994289509e-12,      -1.657696979,      -2.217908097,        1.43477577,       2.869551975,   2.994289509e-12,       3.315394855,      0.8730641079,     0.02162703651
          0,           0,          40,       3.248384944,       2.838356471,   3.663239561e-12,      -1.631410387,      -2.193539455,       1.410874481,       2.821749014,   3.663239561e-12,       3.262821587,      0.8737746663,     0.01960295913
          0,           0,          41,       3.187220213,       2.785839984,   4.663500169e-12,      -1.601151387,      -2.167050404,       1.384244411,       2.768488415,   4.663500169e-12,       3.202303701,      0.8740657371,     0.01671219199
          0,           0,          42,       3.117258261,       2.727196572,    4.27955452e-12,      -1.567246211,      -2.138588756,       1.353684535,       2.707368914,    4.27955452e-12,       3.134494181,      0.8748702688,     0.01301921756
          0,           0,          43,       3.083451404,       2.699631586,   4.388425067e-12,      -1.551245701,      -2.125404627,       1.338863658,       2.677727367,   4.388425067e-12,       3.102492451,      0.8755226636,     0.01268038399
          0,           0,          44,       3.043911278,       2.668888967,   4.685210291e-12,      -1.533272893,      -2.110728887,       1.321425299,       2.642850589,   4.685210291e-12,       3.066546095,      0.8767959126,     0.01288643526
